model,arm,task,lang,press,kept,sample_id,origin,n_candidates,contains_any_exact,contains_any_near,contains_any_novel,contains_target_exact,contains_target_near,target_near_is_truncation,target_near_is_prefix,official_correct
llama31-8b,qa,niah_single,pl,snapkv,0.5,0,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
llama31-8b,qa,niah_single,pl,snapkv,0.5,3,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,8,ENTIRELY_NOVEL,2,False,False,True,False,False,False,False,0
llama31-8b,qa,niah_single,pl,snapkv,0.5,14,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,15,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,21,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
llama31-8b,qa,niah_single,pl,snapkv,0.5,22,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,23,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
llama31-8b,qa,niah_single,pl,snapkv,0.5,27,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
llama31-8b,qa,niah_single,pl,snapkv,0.5,34,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,35,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,37,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,38,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
llama31-8b,qa,niah_single,pl,snapkv,0.5,40,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,42,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
llama31-8b,qa,niah_single,pl,snapkv,0.5,45,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,47,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
llama31-8b,qa,niah_single,pl,snapkv,0.5,49,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,50,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,51,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,52,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
llama31-8b,qa,niah_single,pl,snapkv,0.5,53,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,54,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,55,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,58,TARGET_EXACT,2,True,True,False,True,True,True,True,0
llama31-8b,qa,niah_single,pl,snapkv,0.5,59,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,60,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,66,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,70,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,71,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,74,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,79,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,81,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,85,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,86,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,89,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,90,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,93,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,94,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_single,pl,snapkv,0.5,97,TARGET_EXACT,1,True,False,False,True,False,False,False,1
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,3,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,8,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
